sample,regime,planner,staffing_labor_cost,total_allocated_labor_hours,adjustment_cost,average_shortage_units,worst_case_shortage_units,maximum_single_period_shortage_units,service_level,utilization,average_total_loss,worst_case_total_loss
In-sample,Training scenarios,Nominal,47109.8542532798,1819.1705099734972,1170.7714384516876,11940.729009792794,44469.768019651434,6427.729646223439,0.934528638601911,0.9845540939383681,61759.20737186881,129820.9008379618
In-sample,Training scenarios,Expected,51633.38886900317,1993.4505408397129,1430.6677262216544,3942.8034677514966,27932.10137263064,4311.785665563028,0.9783814949198587,0.9408724507580939,56201.42495616832,85865.1367257772
In-sample,Training scenarios,Robust,53990.64513484876,2083.4616688509873,1638.3042060461667,2488.0038809066446,20235.182699242574,3384.0541147122294,0.986358202994717,0.9103383448147931,57482.3551917289,73383.22796446182
Out-of-sample,Normal variability,Nominal,47109.8542532798,1819.1705099734972,1170.7714384516876,8260.213068438545,37182.01689639686,5038.353698223989,0.9535387405293682,0.9792782540309447,54738.83799491975,103947.73929638849
Out-of-sample,Normal variability,Expected,51633.38886900317,1993.4505408397129,1430.6677262216544,1963.7177784262024,20644.350249376068,2922.4097175635775,0.9889546673342896,0.9270853272897517,53990.90898256959,70686.679608601
Out-of-sample,Normal variability,Robust,53990.64513484876,2083.4616688509873,1638.3042060461667,1242.0747864684067,13743.98201200717,1994.6781667127798,0.9930136960804877,0.893396434341262,56246.72503184879,65114.92119851341
Out-of-sample,Network-wide volume surge,Nominal,47109.8542532798,1819.1705099734972,1170.7714384516876,35161.3125922588,83757.97284868997,9128.540929074508,0.8310968220474941,0.9994161812372352,110071.116439168,336845.966318588
Out-of-sample,Network-wide volume surge,Expected,51633.38886900317,1993.4505408397129,1430.6677262216544,19988.309495459398,67220.30620166917,6962.773567388082,0.9039828508442933,0.9922714633119954,77436.16752611691,233222.56721265888
Out-of-sample,Network-wide volume surge,Robust,53990.64513484876,2083.4616688509873,1638.3042060461667,14264.415678008707,59261.01556604354,6094.662411775875,0.9314785210782587,0.9812706473082927,71756.40373883148,199352.51138180555
Out-of-sample,Pick-heavy spike,Nominal,47109.8542532798,1819.1705099734972,1170.7714384516876,15311.869230612938,44941.78019765078,6637.540520399083,0.9172441683101108,0.9803520467171712,83416.7666979865,177256.55468462198
Out-of-sample,Pick-heavy spike,Expected,51633.38886900317,1993.4505408397129,1430.6677262216544,7586.8078921743845,28451.154049225916,4521.596539738671,0.9589956923265094,0.9355980585490806,68777.97079761718,122445.77362387264
Out-of-sample,Pick-heavy spike,Robust,53990.64513484876,2083.4616688509873,1638.3042060461667,5302.63075424694,20918.111804178334,3593.8649888878736,0.971340950500364,0.9094734116540303,64696.64825630766,106939.0798149818
Out-of-sample,Late-day demand surge,Nominal,47109.8542532798,1819.1705099734972,1170.7714384516876,25184.879917637034,60808.15047453947,10998.11176151206,0.8715357056093204,0.9869840395411542,109177.7255155128,271552.90530423657
Out-of-sample,Late-day demand surge,Expected,51633.38886900317,1993.4505408397129,1430.6677262216544,13257.026000779153,44291.69841561909,8882.16778085165,0.9323778991014234,0.9638123146990961,77298.18553446737,184768.6311026305
Out-of-sample,Late-day demand surge,Robust,53990.64513484876,2083.4616688509873,1638.3042060461667,10154.012527067323,36984.83302803541,7954.4362300008515,0.9482059053372602,0.9406949428330572,72787.12233531494,163177.02011400083
Out-of-sample,Reduced worker productivity,Nominal,47109.8542532798,1819.1705099734972,1170.7714384516876,26009.62644658785,52707.82014295958,5946.909218652607,0.8541143986288923,0.998889648231124,82761.13520746569,167821.04817312871
Out-of-sample,Reduced worker productivity,Expected,51633.38886900317,1993.4505408397129,1430.6677262216544,13252.812899609573,38605.7409380904,4100.10558391345,0.9256661919505593,0.9881694573373269,64513.266780434045,115722.64693098958
Out-of-sample,Reduced worker productivity,Robust,53990.64513484876,2083.4616688509873,1638.3042060461667,8895.226133434286,31818.656075765743,3406.2003793335257,0.9501074951432724,0.9734091434143396,62767.30094693016,99501.88795120746
Out-of-sample,Combined surge + productivity shock,Nominal,47109.8542532798,1819.1705099734972,1170.7714384516876,64817.61308324564,106241.9307257662,13641.386780186844,0.6967373804353374,1.0,243402.3141168125,561232.6657105527
Out-of-sample,Combined surge + productivity shock,Expected,51633.38886900317,1993.4505408397129,1430.6677262216544,50596.96987191088,91925.44783081007,11766.504909011648,0.7632716032649429,0.999966725425497,173043.49532216013,432061.7837011067
Out-of-sample,Combined surge + productivity shock,Robust,53990.64513484876,2083.4616688509873,1638.3042060461667,43794.61608807954,85035.17421041112,11014.990274238085,0.7950978234782804,0.9997068347054306,151489.7052499005,386070.01239371265
